AD5593R,5,IO1,5,B,L
AD5593R,6,IO2,6,B,L
AD5593R,7,IO3,7,B,L
AD5593R,8,VRef,8,P,R
AD5593R,9,VLogic,9,W,D
AD5593R,10,IO4,10,B,L
AD5593R,11,IO5,11,B,L
AD5593R,12,IO6,12,B,L
AD5593R,13,IO7,13,B,L
AD5593R,14,GND,14,W,U
AD5593R,15,SDA,15,B,R
AD5593R,16,SCL,16,I,R
AD630ARZ,1,RinA,1,I,R
AD630ARZ,2,CHA+,2,I,R
AD630ARZ,3,DIFF_OFF_ADJ1,3,P,R
AD630ARZ,4,DIFF_OFF_ADJ2,4,P,R
AD630ARZ,5,CM_OFF_ADJ1,5,P,L
AD630ARZ,6,CM_OFF_ADJ2,6,P,L
AD630ARZ,7,B/~A,7,C,L
AD630ARZ,8,VS-,8,W,U
AD630ARZ,9,SEL_B,9,I,R
AD630ARZ,10,SEL_A,10,I,R
AD630ARZ,11,VS+,11,W,D
AD630ARZ,12,COMP,12,P,L
AD630ARZ,13,Vout,13,O,L
AD630ARZ,14,RB,14,O,L
AD630ARZ,15,RF,15,O,L
AD630ARZ,16,RA,16,O,L
AD630ARZ,17,RinB,17,I,R
AD630ARZ,18,CHB+,18,I,R
AD630ARZ,19,CHB-,19,I,R
AD630ARZ,20,CHA-,20,I,R
AD637xQ,1,BUFF_IN,1,I,L
AD637xQ,2,NIC,2,N,R
AD637xQ,3,COM,3,W,U
AD637xQ,4,OUTPUT_OFFSET,4,I,R
AD637xQ,5,CS,5,I,R
AD637xQ,6,DEN_INPUT,6,I,L
AD637xQ,7,dB_OUTPUT,7,P,L
AD637xQ,8,CAV,8,P,L
AD637xQ,9,RMS_OUT,9,O,L
AD637xQ,10,-VS,10,W,U
AD637xQ,11,+VS,11,W,D
AD637xQ,12,NIC,12,N,R
AD637xQ,13,VIN,13,I,R
AD637xQ,14,BUFF_OUT,14,O,L
AD637xRZ,1,BUFF_IN,1,I,L
AD637xRZ,2,NIC,2,N,R
AD637xRZ,3,COM,3,W,U
AD637xRZ,4,OUTPUT_OFFSET,4,I,R
AD637xRZ,5,CS,5,I,R
AD637xRZ,6,DEN_INPUT,6,I,L
AD637xRZ,7,dB_OUTPUT,7,P,L
AD637xRZ,8,NIC,8,N,R
AD637xRZ,9,NIC,9,N,R
AD637xRZ,10,CAV,10,P,L
AD637xRZ,11,RMS_OUT,11,O,L
AD637xRZ,12,-VS,12,W,U
AD637xRZ,13,+VS,13,W,D
AD637xRZ,14,NIC,14,N,R
AD637xRZ,15,VIN,15,I,R
AD637xRZ,16,BUFF_OUT,16,O,L
AD654JN,1,FOUT,1,C,L
AD654JN,2,COM,2,W,U
AD654JN,3,RT,3,I,R
AD654JN,4,+VIN,4,I,R
AD654JN,5,-VS,5,W,U
AD654JN,6,CT1,6,P,L
AD654JN,7,CT2,7,P,L
AD654JN,8,+VS,8,W,D
AD654JR,1,FOUT,1,C,L
AD654JR,2,COM,2,W,U
AD654JR,3,RT,3,I,R
AD654JR,4,+VIN,4,I,R
AD654JR,5,-VS,5,W,U
AD654JR,6,CT1,6,P,L
AD654JR,7,CT2,7,P,L
AD654JR,8,+VS,8,W,D
APA-106-F5,1,DO,1,O,L
APA-106-F5,2,GND,2,W,U
APA-106-F5,3,VDD,3,W,D
APA-106-F5,4,DI,4,I,R
APA102,1,DI,1,I,R
APA102,2,CI,2,I,R
APA102,3,GND,3,W,U
APA102,4,VCC,4,W,D
APA102,5,CO,5,O,L
APA102,6,DO,6,O,L
APA102-2020,1,VDD,1,W,D
APA102-2020,2,CKO,2,O,L
APA102-2020,3,SDO,3,O,L
APA102-2020,4,SDI,4,I,R
APA102-2020,5,CKI,5,I,R
APA102-2020,6,GND,6,W,U
APFA3010,1,R,1,I,R
